cluster	gene
stem cells 1	SPTSSA
stem cells 1	ZWINT
stem cells 1	DUSP6
stem cells 1	SHFM1
stem cells 1	STK26
stem cells 1	ZSCAN10
stem cells 1	ROR1
stem cells 1	NIPA2
stem cells 1	RPS3A
stem cells 1	CCND1
stem cells 1	SAV1
stem cells 1	CMTM6
stem cells 1	ASNA1
stem cells 1	FOXH1
stem cells 1	FXN
stem cells 1	XIST
stem cells 1	CNOT7
stem cells 1	EXOSC3
stem cells 1	METTL21A
stem cells 1	ATP6V0E1
stem cells 1	RBM47
stem cells 1	MRPL57
stem cells 1	RABGAP1L
stem cells 1	MYBL2
stem cells 1	NUCKS1
stem cells 1	DUSP23
stem cells 1	IFRD2
stem cells 1	ANOS1
stem cells 1	BST2
stem cells 1	HNRNPD
stem cells 1	FAM49B
stem cells 1	TMEM14B
stem cells 1	SDF2L1
stem cells 1	TMED2
stem cells 1	UBE2D3
stem cells 1	CTNNAL1
stem cells 1	PDPN
stem cells 1	XPOT
stem cells 1	PLPP1
stem cells 1	LSM3
stem cells 1	SRSF9
stem cells 1	C19orf53
stem cells 1	VASH2
stem cells 1	DDT
stem cells 1	EMC6
stem cells 1	HNRNPAB
stem cells 1	MDN1
stem cells 1	BOLA3
stem cells 1	GCHFR
stem cells 1	GPC4
stem cells 1	TDRP
stem cells 1	SLC7A11
stem cells 1	MRPL12
stem cells 1	TRMT112
stem cells 1	SNHG8
stem cells 1	EIF1AX
stem cells 1	DEK
stem cells 1	PTMA
stem cells 1	ASS1
stem cells 1	SERP1
stem cells 1	RPL11
stem cells 1	UPP1
stem cells 1	C11orf31
stem cells 1	ALPL
stem cells 1	IARS
stem cells 1	REXO2
stem cells 1	IRX2
stem cells 1	SEMA6A
stem cells 1	RPS28
stem cells 1	PAPOLA
stem cells 1	MAN2A1
stem cells 1	WFDC2
stem cells 1	IPO7
stem cells 1	SLC25A5
stem cells 1	WWC2
stem cells 1	HMGB3
stem cells 1	SLC29A1
stem cells 1	CLSPN
stem cells 1	GNB2L1
stem cells 1	MED28
stem cells 1	C12orf75
stem cells 1	PSMG3
stem cells 1	RPS16
stem cells 1	RPS14
stem cells 1	DTYMK
stem cells 1	RSL24D1
stem cells 1	LINC01405
stem cells 1	SLC25A33
stem cells 1	LAGE3
stem cells 1	UBE2K
stem cells 1	BRIX1
stem cells 1	GPR160
stem cells 1	CDCA7
stem cells 1	SLC7A1
stem cells 1	RBMS1
stem cells 1	HEBP2
stem cells 1	GSTP1
stem cells 1	MRPL37
stem cells 1	RPL28
stem cells 1	FTH1
stem cells 1	SLC39A14
stem cells 1	RPS19
stem cells 1	COPRS
stem cells 1	EIF4E2
stem cells 1	ZMYND8
stem cells 1	ARPC1B
stem cells 1	KRTCAP3
stem cells 1	GABRB3
stem cells 1	PYCR1
stem cells 1	LSM10
stem cells 1	RPL13
stem cells 1	RPL27A
stem cells 1	TIMM8A
stem cells 1	IPO5
stem cells 1	TXN
stem cells 1	ZBTB8OS
stem cells 1	RPS27
stem cells 1	CECR2
stem cells 1	RPL35
stem cells 1	STC2
stem cells 1	ANAPC15
stem cells 1	CMTM7
stem cells 1	FLT1
stem cells 1	MORF4L1
stem cells 1	RPL36AL
stem cells 1	VSIG10
stem cells 1	NDUFA4
stem cells 1	SALL2
stem cells 1	CENPH
stem cells 1	CHPT1
stem cells 1	GPX4
stem cells 1	ETV4
stem cells 1	B3GNT7
stem cells 1	EIF4EBP2
stem cells 1	LARP1
stem cells 1	GNPNAT1
stem cells 1	DLGAP5
stem cells 1	STK24
stem cells 1	RP11-132A1.3
stem cells 1	DANT1
stem cells 1	MSH2
stem cells 1	GRID2
stem cells 1	ZBTB44
stem cells 1	PRKCDBP
stem cells 1	EGFL7
stem cells 1	PSMG1
stem cells 1	OTX2
stem cells 1	TRIML2
stem cells 1	PLA2G12A
